Referenz,Zielwort,Dist1,Dist2,Dist3
Kaffee,Kaffeebohnen,Kraeuter,Kakaobohnen,Kiste
Pilze,Wald,Oase,Gebirge,Stadt
Tacker,Heftklammer,Anspitzer,Briefklammern,Cuttermesser
Trompete,Floete,Klavier,Violine,Trommel
Ei,Huhn,Hase,Hund,Maus
Ballettschuhe,Theater,Zirkus,Kino,Schule
Essstaebchen,Gabel,Buerste,Zange,Zirkel
Nudelholz,Kuchen2,Sandwich,Salat,Currywurst
Bierkrug,Bierflasche,Weinflasche,Getraenke,Wasserflasche
Kissen,Bett,Bank,Sofa,Autokindersitz
Weihnachtsmann,Mantel,Hut,Sonnenbrille,Shorts
Muetze,Schaf,Pony,Strauss,Gorilla
Bowlingkugel,Kegel,Pferd,Taucherbrille,Tor
Taucherbrille2,Taucherflossen,Ball,Schlaeger,Schlittschuhe
Schreibtisch,Buerostuhl,Sessel,Hocker,Sonnenliege
Schildkroete,Traktor,Rakete,Flugzeug,Zug
Kamin,Ofen,Kuehlschrank,Geschirrspueler,Spuele
Minze,Teekanne,Karaffe,Dekantierer,Kaffeekanne
Holz,Papier,Naehgarn,Stoff,Baumwolle
Streichholz,Steine,Schneebesen,Messer,Nagel
Milch,Kokosnuss,Pastinake,Nuss,Ruebe
Tuete,Einkaufswagen,Kinderwagen,Skateboard,Roller
Ventilator,Hubschrauber,Motorrad,LKW,Kanu
Hamsterrad,Hamster,Fisch,Salamander,Schildkroete
Welpe,Katze,Loewe,Tiger,Zebra
Dusche,Handtuch,Kuechentuch,Tuch,Serviette
Kuh,Gummistiefel,Skischuhe,Ballettschuhe1,Flipflops
Kreisel,Karussell,Schlitten,Wackeltier,Trampolin
Kaenguru,Grashuepfer,Marienkaefer,Schmetterling,Ameise
Revolver,Gewehr,Schwert,Saebel,Lanze
Nussknacker,Nuss,Christbaumkugeln,Stein,Kristallkugel
